Column,TitleLong,Week,Title,Vote,Count,SpecialWeek,ExtraRow
566,"Votes [Babe 2: Pig in the City (1998, 1:36)]",2020-06-29,Babe2,I do not love this film but would still show up,9,,
1217,"Votes [Babe 2: Pig in the City (1998, 1:36)]",2020-06-29,Babe2,I would NOT come to watch this film,3,,
1868,"Votes [Babe 2: Pig in the City (1998, 1:36)]",2020-06-29,Babe2,I would REALLY LIKE to watch this film,5,,
572,"Votes [Beetlejuice (1988, 1:32)]",2020-06-29,Beetlejuice,I do not love this film but would still show up,12,,
1223,"Votes [Beetlejuice (1988, 1:32)]",2020-06-29,Beetlejuice,I would NOT come to watch this film,0,,
1874,"Votes [Beetlejuice (1988, 1:32)]",2020-06-29,Beetlejuice,I would REALLY LIKE to watch this film,5,,
585,"Votes [Clueless (1995, 1:37)]",2020-06-29,Clueless,I do not love this film but would still show up,6,,
1236,"Votes [Clueless (1995, 1:37)]",2020-06-29,Clueless,I would NOT come to watch this film,0,,
1887,"Votes [Clueless (1995, 1:37)]",2020-06-29,Clueless,I would REALLY LIKE to watch this film,11,,
600,"Votes [Legally Blonde (2001, 1:36)]",2020-06-29,LegallyBlonde,I do not love this film but would still show up,4,,
1251,"Votes [Legally Blonde (2001, 1:36)]",2020-06-29,LegallyBlonde,I would NOT come to watch this film,0,,
1902,"Votes [Legally Blonde (2001, 1:36)]",2020-06-29,LegallyBlonde,I would REALLY LIKE to watch this film,13,,
613,"Votes [RED (2010, 1:51)]",2020-06-29,RED,I do not love this film but would still show up,10,,
1264,"Votes [RED (2010, 1:51)]",2020-06-29,RED,I would NOT come to watch this film,0,,
1915,"Votes [RED (2010, 1:51)]",2020-06-29,RED,I would REALLY LIKE to watch this film,7,,
616,"Votes [Romy and Michele's High School Reunion (1997, 1:32)]",2020-06-29,RomyAndMichele,I do not love this film but would still show up,4,,
1267,"Votes [Romy and Michele's High School Reunion (1997, 1:32)]",2020-06-29,RomyAndMichele,I would NOT come to watch this film,0,,
1918,"Votes [Romy and Michele's High School Reunion (1997, 1:32)]",2020-06-29,RomyAndMichele,I would REALLY LIKE to watch this film,13,,
646," [Tremors (1990, 1:36)]",2020-06-29,Tremors,I do not love this film but would still show up,8,,
1297," [Tremors (1990, 1:36)]",2020-06-29,Tremors,I would NOT come to watch this film,1,,
1948," [Tremors (1990, 1:36)]",2020-06-29,Tremors,I would REALLY LIKE to watch this film,8,,
648,"Votes [Twister (1996, 1:53)]",2020-06-29,Twister,I do not love this film but would still show up,10,,
1299,"Votes [Twister (1996, 1:53)]",2020-06-29,Twister,I would NOT come to watch this film,1,,
1950,"Votes [Twister (1996, 1:53)]",2020-06-29,Twister,I would REALLY LIKE to watch this film,6,,
568,"Votes [Batman and Robin (1997, 2:05)]",2020-07-06,BatmanAndRobin,I do not love this film but would still show up,3,,
1219,"Votes [Batman and Robin (1997, 2:05)]",2020-07-06,BatmanAndRobin,I would NOT come to watch this film,2,,
1870,"Votes [Batman and Robin (1997, 2:05)]",2020-07-06,BatmanAndRobin,I would REALLY LIKE to watch this film,8,,
569," [Batman Forever (1995, 2:02)]",2020-07-06,BatmanForever,I do not love this film but would still show up,5,,
1220," [Batman Forever (1995, 2:02)]",2020-07-06,BatmanForever,I would NOT come to watch this film,2,,
1871," [Batman Forever (1995, 2:02)]",2020-07-06,BatmanForever,I would REALLY LIKE to watch this film,6,,
637,"Votes [The Lost Boys (1987, 1:37)]",2020-07-06,LostBoys,I do not love this film but would still show up,4,,
1288,"Votes [The Lost Boys (1987, 1:37)]",2020-07-06,LostBoys,I would NOT come to watch this film,0,,
1939,"Votes [The Lost Boys (1987, 1:37)]",2020-07-06,LostBoys,I would REALLY LIKE to watch this film,9,,
609,"Votes [Phantom of the Opera (2004, 2:21)]",2020-07-06,Phantom,I do not love this film but would still show up,6,,
1260,"Votes [Phantom of the Opera (2004, 2:21)]",2020-07-06,Phantom,I would NOT come to watch this film,4,,
1911,"Votes [Phantom of the Opera (2004, 2:21)]",2020-07-06,Phantom,I would REALLY LIKE to watch this film,3,,
610,"Votes [Phone Booth (2002, 1:21)]",2020-07-06,PhoneBooth,I do not love this film but would still show up,7,,
1261,"Votes [Phone Booth (2002, 1:21)]",2020-07-06,PhoneBooth,I would NOT come to watch this film,3,,
1912,"Votes [Phone Booth (2002, 1:21)]",2020-07-06,PhoneBooth,I would REALLY LIKE to watch this film,3,,
623,"Votes [St. Elmos Fire (1985, 1:45)]",2020-07-06,StElmosFire,I do not love this film but would still show up,6,,
1274,"Votes [St. Elmos Fire (1985, 1:45)]",2020-07-06,StElmosFire,I would NOT come to watch this film,3,,
1925,"Votes [St. Elmos Fire (1985, 1:45)]",2020-07-06,StElmosFire,I would REALLY LIKE to watch this film,4,,
627,"Votes [The Client (1994, 2:01)]",2020-07-06,TheClient,I do not love this film but would still show up,9,,
1278,"Votes [The Client (1994, 2:01)]",2020-07-06,TheClient,I would NOT come to watch this film,1,,
1929,"Votes [The Client (1994, 2:01)]",2020-07-06,TheClient,I would REALLY LIKE to watch this film,3,,
641," [The Wiz (1978, 2:14)]",2020-07-06,TheWiz,I do not love this film but would still show up,8,,
1292," [The Wiz (1978, 2:14)]",2020-07-06,TheWiz,I would NOT come to watch this film,1,,
1943," [The Wiz (1978, 2:14)]",2020-07-06,TheWiz,I would REALLY LIKE to watch this film,4,,
564,"Votes [Adventures in Babysitting (1987, 1:42)]",2020-07-13,AdventuresInBabysitting,I do not love this film but would still show up,10,,
1215,"Votes [Adventures in Babysitting (1987, 1:42)]",2020-07-13,AdventuresInBabysitting,I would NOT come to watch this film,2,,
1866,"Votes [Adventures in Babysitting (1987, 1:42)]",2020-07-13,AdventuresInBabysitting,I would REALLY LIKE to watch this film,5,,
570,"Votes [Batteries Not Included (1987, 1:46)]",2020-07-13,BatteriesNotIncluded,I do not love this film but would still show up,10,,
1221,"Votes [Batteries Not Included (1987, 1:46)]",2020-07-13,BatteriesNotIncluded,I would NOT come to watch this film,5,,
1872,"Votes [Batteries Not Included (1987, 1:46)]",2020-07-13,BatteriesNotIncluded,I would REALLY LIKE to watch this film,2,,
603,"Votes [Mean Girls (2004, 1:37)]",2020-07-13,MeanGirls,I do not love this film but would still show up,6,,
1254,"Votes [Mean Girls (2004, 1:37)]",2020-07-13,MeanGirls,I would NOT come to watch this film,3,,
1905,"Votes [Mean Girls (2004, 1:37)]",2020-07-13,MeanGirls,I would REALLY LIKE to watch this film,8,,
606," [My Cousin Vinnie (1992, 1:59)]",2020-07-13,MyCousinVinnie,I do not love this film but would still show up,5,,
1257," [My Cousin Vinnie (1992, 1:59)]",2020-07-13,MyCousinVinnie,I would NOT come to watch this film,2,,
1908," [My Cousin Vinnie (1992, 1:59)]",2020-07-13,MyCousinVinnie,I would REALLY LIKE to watch this film,10,,
617,"Votes [Romy and Michele's High School Reunion (1997, 1:32)]",2020-07-13,RomyAndMichele,I do not love this film but would still show up,4,,
1268,"Votes [Romy and Michele's High School Reunion (1997, 1:32)]",2020-07-13,RomyAndMichele,I would NOT come to watch this film,2,,
1919,"Votes [Romy and Michele's High School Reunion (1997, 1:32)]",2020-07-13,RomyAndMichele,I would REALLY LIKE to watch this film,11,,
620," [Speed Racer (2008, 2:15)]",2020-07-13,SpeedRacer,I do not love this film but would still show up,8,,
1271," [Speed Racer (2008, 2:15)]",2020-07-13,SpeedRacer,I would NOT come to watch this film,5,,
1922," [Speed Racer (2008, 2:15)]",2020-07-13,SpeedRacer,I would REALLY LIKE to watch this film,4,,
640," [The Net (1995, 1:54)]",2020-07-13,TheNet,I do not love this film but would still show up,8,,
1291," [The Net (1995, 1:54)]",2020-07-13,TheNet,I would NOT come to watch this film,2,,
1942," [The Net (1995, 1:54)]",2020-07-13,TheNet,I would REALLY LIKE to watch this film,7,,
649," [UHF (1989, 1:37)]",2020-07-13,UHF,I do not love this film but would still show up,6,,
1300," [UHF (1989, 1:37)]",2020-07-13,UHF,I would NOT come to watch this film,5,,
1951," [UHF (1989, 1:37)]",2020-07-13,UHF,I would REALLY LIKE to watch this film,6,,
573,"Votes [Beetlejuice (1988, 1:32)]",2020-07-20,Beetlejuice,I do not love this film but would still show up,10,,
1224,"Votes [Beetlejuice (1988, 1:32)]",2020-07-20,Beetlejuice,I would NOT come to watch this film,2,,
1875,"Votes [Beetlejuice (1988, 1:32)]",2020-07-20,Beetlejuice,I would REALLY LIKE to watch this film,3,,
581,"Votes [But I'm A Cheerleader (1999, 1:25)]",2020-07-20,Cheerleader,I do not love this film but would still show up,6,,
1232,"Votes [But I'm A Cheerleader (1999, 1:25)]",2020-07-20,Cheerleader,I would NOT come to watch this film,0,,
1883,"Votes [But I'm A Cheerleader (1999, 1:25)]",2020-07-20,Cheerleader,I would REALLY LIKE to watch this film,9,,
586,"Votes [Clueless (1995, 1:37)]",2020-07-20,Clueless,I do not love this film but would still show up,6,,
1237,"Votes [Clueless (1995, 1:37)]",2020-07-20,Clueless,I would NOT come to watch this film,2,,
1888,"Votes [Clueless (1995, 1:37)]",2020-07-20,Clueless,I would REALLY LIKE to watch this film,7,,
630," [The First Wives Club (1996, 1:42)]",2020-07-20,FirstWivesClub,I do not love this film but would still show up,7,,
1281," [The First Wives Club (1996, 1:42)]",2020-07-20,FirstWivesClub,I would NOT come to watch this film,1,,
1932," [The First Wives Club (1996, 1:42)]",2020-07-20,FirstWivesClub,I would REALLY LIKE to watch this film,7,,
604,"Votes [Mean Girls (2004, 1:37)]",2020-07-20,MeanGirls,I do not love this film but would still show up,6,,
1255,"Votes [Mean Girls (2004, 1:37)]",2020-07-20,MeanGirls,I would NOT come to watch this film,1,,
1906,"Votes [Mean Girls (2004, 1:37)]",2020-07-20,MeanGirls,I would REALLY LIKE to watch this film,8,,
607," [My Cousin Vinnie (1992, 1:59)]",2020-07-20,MyCousinVinnie,I do not love this film but would still show up,8,,
1258," [My Cousin Vinnie (1992, 1:59)]",2020-07-20,MyCousinVinnie,I would NOT come to watch this film,2,,
1909," [My Cousin Vinnie (1992, 1:59)]",2020-07-20,MyCousinVinnie,I would REALLY LIKE to watch this film,5,,
596,"Votes [I love you Phillip Morris (2009, 1:37)]",2020-07-20,PhillipMorris,I do not love this film but would still show up,8,,
1247,"Votes [I love you Phillip Morris (2009, 1:37)]",2020-07-20,PhillipMorris,I would NOT come to watch this film,3,,
1898,"Votes [I love you Phillip Morris (2009, 1:37)]",2020-07-20,PhillipMorris,I would REALLY LIKE to watch this film,4,,
631,"Votes [The Founder (2016, 1:55)]",2020-07-20,TheFounder,I do not love this film but would still show up,4,,
1282,"Votes [The Founder (2016, 1:55)]",2020-07-20,TheFounder,I would NOT come to watch this film,2,,
1933,"Votes [The Founder (2016, 1:55)]",2020-07-20,TheFounder,I would REALLY LIKE to watch this film,9,,
582,"Votes [Capricorn One (1977, 2:03)]",2020-07-27,CapricornOne,I do not love this film but would still show up,10,,
1233,"Votes [Capricorn One (1977, 2:03)]",2020-07-27,CapricornOne,I would NOT come to watch this film,6,,
1884,"Votes [Capricorn One (1977, 2:03)]",2020-07-27,CapricornOne,I would REALLY LIKE to watch this film,3,,
587,"Votes [Clueless (1995, 1:37)]",2020-07-27,Clueless,I do not love this film but would still show up,9,,
1238,"Votes [Clueless (1995, 1:37)]",2020-07-27,Clueless,I would NOT come to watch this film,2,,
1889,"Votes [Clueless (1995, 1:37)]",2020-07-27,Clueless,I would REALLY LIKE to watch this film,8,,
589," [Dogma (1999, 2:08)]",2020-07-27,Dogma,I do not love this film but would still show up,7,,
1240," [Dogma (1999, 2:08)]",2020-07-27,Dogma,I would NOT come to watch this film,1,,
1891," [Dogma (1999, 2:08)]",2020-07-27,Dogma,I would REALLY LIKE to watch this film,11,,
629,"Votes [The Fifth Element (1997, 2:06)]",2020-07-27,FifthElement,I do not love this film but would still show up,4,,
1280,"Votes [The Fifth Element (1997, 2:06)]",2020-07-27,FifthElement,I would NOT come to watch this film,1,,
1931,"Votes [The Fifth Element (1997, 2:06)]",2020-07-27,FifthElement,I would REALLY LIKE to watch this film,14,,
608," [My Cousin Vinnie (1992, 1:59)]",2020-07-27,MyCousinVinnie,I do not love this film but would still show up,11,,
1259," [My Cousin Vinnie (1992, 1:59)]",2020-07-27,MyCousinVinnie,I would NOT come to watch this film,1,,
1910," [My Cousin Vinnie (1992, 1:59)]",2020-07-27,MyCousinVinnie,I would REALLY LIKE to watch this film,7,,
628," [The Faculty (1998, 1:47)]",2020-07-27,TheFaculty,I do not love this film but would still show up,10,,
1279," [The Faculty (1998, 1:47)]",2020-07-27,TheFaculty,I would NOT come to watch this film,3,,
1930," [The Faculty (1998, 1:47)]",2020-07-27,TheFaculty,I would REALLY LIKE to watch this film,6,,
632,"Votes [The Founder (2016, 1:55)]",2020-07-27,TheFounder,I do not love this film but would still show up,10,,
1283,"Votes [The Founder (2016, 1:55)]",2020-07-27,TheFounder,I would NOT come to watch this film,2,,
1934,"Votes [The Founder (2016, 1:55)]",2020-07-27,TheFounder,I would REALLY LIKE to watch this film,7,,
651," [WarGames (1983, 1:52)]",2020-07-27,WarGames,I do not love this film but would still show up,12,,
1302," [WarGames (1983, 1:52)]",2020-07-27,WarGames,I would NOT come to watch this film,3,,
1953," [WarGames (1983, 1:52)]",2020-07-27,WarGames,I would REALLY LIKE to watch this film,4,,
576," [Bend It Like Beckham (2002, 1:52)]",2020-08-03,BendItLikeBeckham,I do not love this film but would still show up,6,,
1227," [Bend It Like Beckham (2002, 1:52)]",2020-08-03,BendItLikeBeckham,I would NOT come to watch this film,2,,
1878," [Bend It Like Beckham (2002, 1:52)]",2020-08-03,BendItLikeBeckham,I would REALLY LIKE to watch this film,5,,
590," [Dogma (1999, 2:08)]",2020-08-03,Dogma,I do not love this film but would still show up,8,,
1241," [Dogma (1999, 2:08)]",2020-08-03,Dogma,I would NOT come to watch this film,1,,
1892," [Dogma (1999, 2:08)]",2020-08-03,Dogma,I would REALLY LIKE to watch this film,4,,
591," [Empire Records (1995, 1:30)]",2020-08-03,EmpireRecords,I do not love this film but would still show up,5,,
1242," [Empire Records (1995, 1:30)]",2020-08-03,EmpireRecords,I would NOT come to watch this film,2,,
